"Category1","Annual_Income","Age","Purchased","Transaction_Date"
"Segment_4",72.36,54,"No",2023-01-16
"Segment_5",54.88,70,"Yes",2023-12-02
"Segment_1",51.46,23,"No",2023-08-28
"Segment_5",66.15,43,"No",2023-05-04
"Segment_1",47.46,66,"Yes",2023-12-11
"Segment_1",76.06,63,"Yes",2023-10-28
"Segment_2",65.33,19,"No",2023-09-15
"Segment_2",57.86,64,"Yes",2023-09-12
"Segment_1",49.04,39,"No",2023-05-31
"Segment_3",44.86,19,"Yes",2023-07-30
"Segment_1",22.81,33,"No",2023-05-04
"Segment_2",68.67,37,"No",2023-09-27
"Segment_3",54.82,67,"No",2023-03-10
"Segment_1",50.87,31,"No",2023-02-13
"Segment_1",74.93,56,"Yes",2023-08-06
"Segment_2",95.14,19,"No",2023-09-17
"Segment_4",59.55,40,"Yes",2023-03-26
"Segment_5",62.9,42,"No",2023-07-19
"Segment_1",72.93,35,"No",2023-09-05
"Segment_5",84.26,35,"Yes",2023-08-24
"Segment_2",63.54,58,"No",2023-02-10
"Segment_1",58.98,56,"Yes",2023-08-14
"Segment_4",61.45,21,"No",2023-02-06
"Segment_4",62.7,70,"Yes",2023-06-03
"Segment_3",65.33,27,"Yes",2023-11-29
"Segment_2",49.36,52,"Yes",2023-07-03
"Segment_4",56.16,48,"Yes",2023-03-08
"Segment_3",34.17,52,"Yes",2023-04-02
"Segment_3",56.81,66,"No",2023-11-18
"Segment_2",52.35,49,"Yes",2023-08-31
"Segment_1",72.22,54,"Yes",2023-10-31
"Segment_4",59.24,31,"Yes",2023-06-18
"Segment_5",45.78,56,"Yes",2023-05-03
"Segment_5",52.01,64,"No",2023-10-06
"Segment_5",54.9,50,"Yes",2023-06-24
"Segment_5",43.73,32,"No",2023-07-28
"Segment_2",74.87,45,"No",2023-08-12
"Segment_2",63.56,59,"No",2023-07-24
"Segment_5",66.7,56,"Yes",2023-05-02
"Segment_3",36.4,65,"No",2023-09-21
"Segment_1",41.6,19,"No",2023-06-25
"Segment_2",51.82,41,"No",2023-12-18
"Segment_2",78.85,23,"Yes",2023-10-05
"Segment_5",54.42,68,"No",2023-09-17
"Segment_5",77.18,35,"No",2023-11-02
"Segment_1",67.49,35,"No",2023-04-10
"Segment_1",57.32,63,"No",2023-01-29
"Segment_2",49.44,20,"No",2023-11-11
"Segment_2",80.36,51,"No",2023-05-17
"Segment_2",68.99,24,"No",2023-04-28
"Segment_3",59.64,61,"Yes",2023-06-29
"Segment_3",62.23,58,"No",2023-10-10
"Segment_5",50.69,18,"No",2023-11-29
"Segment_1",87.98,66,"No",2023-10-17
"Segment_3",68.81,26,"No",2023-09-17
"Segment_2",73.6,20,"No",2023-04-21
"Segment_5",45.06,45,"No",2023-08-10
"Segment_1",36.7,47,"No",2023-11-09
"Segment_3",89.51,40,"Yes",2023-03-16
"Segment_2",61.06,26,"No",2023-10-03
"Segment_4",51.8,46,"No",2023-08-19
"Segment_1",58.94,58,"Yes",2023-08-02
"Segment_1",52.79,56,"No",2023-04-16
"Segment_3",75.41,50,"No",2023-11-29
"Segment_2",70.64,46,"Yes",2023-04-17
"Segment_1",94.29,68,"No",2023-03-27
"Segment_2",39.79,59,"No",2023-08-11
"Segment_3",54.93,36,"Yes",2023-10-16
"Segment_2",67.41,38,"No",2023-05-08
"Segment_4",84.91,26,"No",2023-03-23
"Segment_4",44.73,32,"No",2023-09-17
"Segment_2",60.31,61,"No",2023-10-25
"Segment_1",54.09,57,"No",2023-07-12
"Segment_2",36.4,22,"No",2023-12-14
"Segment_3",43.89,30,"No",2023-08-05
"Segment_4",42.39,41,"Yes",2023-01-22
"Segment_5",33.08,21,"No",2023-06-15
"Segment_3",63.53,60,"Yes",2023-09-18
"Segment_3",62.44,48,"Yes",2023-08-20
"Segment_2",70.95,57,"Yes",2023-08-26
"Segment_3",78.85,26,"Yes",2023-06-06
"Segment_4",30.85,22,"No",2023-01-24
"Segment_1",53.75,61,"No",2023-07-13
"Segment_3",43.36,45,"Yes",2023-09-24
"Segment_2",62.34,28,"No",2023-01-31
"Segment_1",74.75,20,"No",2023-09-29
"Segment_5",65.66,31,"Yes",2023-03-27
"Segment_4",58.77,53,"No",2023-01-26
"Segment_5",54.59,48,"No",2023-09-02
"Segment_2",60.7,70,"No",2023-02-27
"Segment_2",72.8,30,"No",2023-08-24
"Segment_1",73.63,43,"Yes",2023-12-29
"Segment_3",65.91,28,"Yes",2023-12-03
"Segment_3",76.75,39,"No",2023-03-24
"Segment_5",60.76,43,"Yes",2023-02-17
"Segment_3",82.03,23,"No",2023-08-07
"Segment_3",44.97,69,"Yes",2023-11-28
"Segment_4",64.1,70,"No",2023-05-19
"Segment_3",32.79,29,"No",2023-12-20
"Segment_3",67.02,58,"No",2023-01-04
"Segment_1",24.38,43,"Yes",2023-10-27
"Segment_1",55.72,47,"No",2023-12-12
"Segment_4",61.18,70,"No",2023-02-15
"Segment_4",67.58,30,"Yes",2023-04-04
"Segment_5",51.08,67,"No",2023-03-10
"Segment_4",51.55,44,"No",2023-12-18
"Segment_1",60.72,50,"No",2023-02-08
"Segment_3",51.43,63,"No",2023-12-13
"Segment_3",67.15,51,"Yes",2023-09-17
"Segment_5",68.16,61,"No",2023-05-01
"Segment_1",41.61,43,"No",2023-03-21
"Segment_3",55.15,21,"No",2023-09-19
"Segment_1",78.6,31,"No",2023-04-25
"Segment_3",52.33,31,"No",2023-01-29
"Segment_4",50.62,56,"No",2023-02-19
"Segment_5",74.53,42,"No",2023-11-19
"Segment_2",41.33,51,"No",2023-08-24
"Segment_5",53.94,49,"No",2023-10-09
"Segment_5",50.14,65,"Yes",2023-10-25
"Segment_4",37.43,20,"No",2023-09-07
"Segment_3",56.11,70,"No",2023-03-22
"Segment_4",63.12,36,"Yes",2023-11-02
"Segment_2",49.92,42,"No",2023-08-04
"Segment_5",58.5,53,"Yes",2023-04-13
"Segment_4",66.64,46,"No",2023-03-13
"Segment_4",63.17,50,"Yes",2023-06-29
"Segment_5",51.71,70,"No",2023-04-28
"Segment_4",47.64,34,"No",2023-07-06
"Segment_3",65.82,48,"No",2023-07-15
"Segment_1",74.1,42,"No",2023-01-29
"Segment_4",57.31,37,"No",2023-05-11
"Segment_2",44.34,23,"Yes",2023-10-30
"Segment_5",24.88,65,"No",2023-08-11
"Segment_3",43.76,20,"Yes",2023-11-16
"Segment_5",49.68,27,"Yes",2023-02-25
"Segment_5",78.14,39,"No",2023-07-22
"Segment_4",62.7,68,"No",2023-08-20
"Segment_3",64.74,50,"Yes",2023-07-29
"Segment_3",60.71,58,"No",2023-04-03
"Segment_2",48.38,40,"No",2023-12-10
"Segment_4",67.57,34,"No",2023-12-27
"Segment_5",47.32,42,"Yes",2023-02-02
"Segment_2",70.1,69,"Yes",2023-06-29
"Segment_2",45.94,65,"No",2023-09-28
"Segment_3",71.7,28,"No",2023-06-21
"Segment_3",83.46,35,"Yes",2023-02-20
"Segment_5",41.65,21,"Yes",2023-03-06
"Segment_1",43.94,65,"Yes",2023-10-06
"Segment_5",73.96,21,"No",2023-02-26
"Segment_2",87.01,23,"Yes",2023-03-08
"Segment_3",52.05,39,"No",2023-07-03
"Segment_3",45.57,63,"No",2023-03-14
"Segment_4",67.34,39,"Yes",2023-05-29
"Segment_5",80.12,62,"Yes",2023-05-05
"Segment_1",51.44,23,"No",2023-03-04
"Segment_5",61.85,25,"No",2023-07-31
"Segment_2",53.86,50,"Yes",2023-11-06
"Segment_2",71.84,41,"Yes",2023-08-15
"Segment_1",61.01,49,"Yes",2023-05-15
"Segment_5",72.78,39,"No",2023-11-07
"Segment_5",60.14,57,"Yes",2023-12-21
"Segment_3",63.48,25,"Yes",2023-02-09
"Segment_5",73.49,57,"No",2023-12-17
"Segment_3",49.2,60,"No",2023-02-09
"Segment_1",69.83,51,"No",2023-07-15
"Segment_4",34.53,37,"Yes",2023-12-27
"Segment_2",67.74,19,"Yes",2023-12-23
"Segment_4",72.34,45,"Yes",2023-01-13
"Segment_4",60.06,60,"No",2023-11-21
"Segment_5",68.53,67,"Yes",2023-08-22
"Segment_1",68.81,62,"No",2023-11-13
"Segment_4",39.57,38,"No",2023-09-11
"Segment_2",62.19,39,"No",2023-08-25
"Segment_4",70.2,49,"Yes",2023-12-29
"Segment_4",70.47,37,"No",2023-01-14
"Segment_3",55.67,33,"No",2023-12-20
"Segment_3",52.14,22,"Yes",2023-05-01
"Segment_1",49.93,24,"Yes",2023-05-14
"Segment_2",39.65,39,"No",2023-05-30
"Segment_2",57.01,56,"No",2023-02-23
"Segment_4",68.04,24,"Yes",2023-05-17
"Segment_2",94.45,44,"Yes",2023-11-15
"Segment_3",48.54,67,"No",2023-10-25
"Segment_4",39.07,25,"No",2023-03-24
"Segment_3",93.44,44,"Yes",2023-06-12
"Segment_1",77.17,18,"No",2023-10-01
"Segment_4",59.05,44,"No",2023-03-20
"Segment_4",70.74,36,"No",2023-04-13
"Segment_5",70.22,38,"No",2023-03-31
"Segment_1",62.85,66,"Yes",2023-07-24
"Segment_3",78.02,55,"No",2023-05-06
"Segment_2",58.95,20,"Yes",2023-07-12
"Segment_2",66.69,20,"Yes",2023-04-03
"Segment_4",80.07,21,"No",2023-01-29
"Segment_4",37.44,23,"Yes",2023-07-11
"Segment_2",34.72,28,"No",2023-06-11
"Segment_5",79.68,39,"No",2023-02-14
"Segment_5",74.85,67,"No",2023-06-03
"Segment_1",64.6,60,"No",2023-01-08
"Segment_1",56.41,42,"Yes",2023-03-03
"Segment_5",70.68,44,"No",2023-04-21
"Segment_3",35.12,18,"No",2023-05-17
"Segment_1",53.68,18,"Yes",2023-12-16
"Segment_3",46.42,22,"Yes",2023-05-07
"Segment_3",93.34,48,"No",2023-09-13
"Segment_3",43.38,36,"No",2023-01-14
"Segment_4",47.9,70,"No",2023-10-05
"Segment_1",43.89,45,"Yes",2023-12-28
"Segment_5",33.41,19,"No",2023-03-12
"Segment_3",61.17,67,"No",2023-12-19
"Segment_5",73.02,30,"No",2023-06-18
"Segment_4",57.8,46,"No",2023-06-04
"Segment_1",92.33,59,"Yes",2023-08-06
"Segment_5",33.22,65,"Yes",2023-03-07
"Segment_4",62.6,45,"No",2023-10-31
"Segment_1",57.63,39,"No",2023-09-18
"Segment_4",82.85,27,"No",2023-04-10
"Segment_1",61.97,19,"No",2023-03-12
"Segment_1",44.83,32,"Yes",2023-04-10
"Segment_4",64.44,48,"No",2023-12-08
"Segment_3",58.1,55,"Yes",2023-12-20
"Segment_1",63.57,42,"No",2023-04-11
"Segment_2",39,56,"No",2023-01-13
"Segment_5",69.37,52,"No",2023-09-22
"Segment_1",86.37,53,"Yes",2023-10-12
"Segment_4",56.02,69,"No",2023-09-13
"Segment_2",76.56,22,"No",2023-01-08
"Segment_2",80.98,31,"No",2023-10-19
"Segment_2",74.31,44,"Yes",2023-12-14
"Segment_3",49.4,43,"Yes",2023-01-09
"Segment_2",22.85,65,"No",2023-11-18
"Segment_5",74.33,44,"No",2023-05-07
"Segment_1",55.29,57,"Yes",2023-10-01
"Segment_1",58.89,63,"No",2023-10-28
"Segment_2",57.9,58,"Yes",2023-12-21
"Segment_3",60.5,38,"Yes",2023-05-20
"Segment_4",41.4,21,"Yes",2023-04-19
"Segment_2",61.1,25,"No",2023-03-08
"Segment_4",55.08,24,"Yes",2023-07-21
"Segment_4",67.54,52,"Yes",2023-03-01
"Segment_1",31.03,58,"No",2023-05-21
"Segment_3",41.03,50,"No",2023-11-24
"Segment_3",60.35,66,"Yes",2023-08-09
"Segment_4",57.89,55,"Yes",2023-09-07
"Segment_2",56.71,44,"No",2023-04-24
"Segment_2",80.69,56,"Yes",2023-01-11
"Segment_1",55.81,48,"Yes",2023-07-07
"Segment_2",55.58,41,"Yes",2023-08-30
"Segment_1",45.07,62,"Yes",2023-06-30
"Segment_3",51.12,52,"No",2023-03-24
"Segment_2",76.89,47,"Yes",2023-04-26
"Segment_3",87.32,53,"No",2023-02-15
"Segment_1",84.21,63,"Yes",2023-11-21
"Segment_1",49.74,61,"Yes",2023-08-31
"Segment_1",76.43,59,"Yes",2023-01-19
"Segment_5",39.93,34,"No",2023-03-08
"Segment_1",47.36,60,"No",2023-12-15
"Segment_1",64.72,53,"No",2023-04-21
"Segment_4",89.11,23,"No",2023-10-29
"Segment_3",61.01,46,"Yes",2023-06-27
"Segment_2",75.67,20,"No",2023-05-18
"Segment_2",58.92,58,"Yes",2023-03-14
"Segment_4",60.1,35,"Yes",2023-07-28
"Segment_1",66.26,49,"Yes",2023-01-03
"Segment_1",84.31,36,"Yes",2023-05-21
"Segment_4",48.25,32,"No",2023-11-08
"Segment_1",56.27,45,"No",2023-05-16
"Segment_1",64.75,58,"No",2023-08-22
"Segment_5",61.09,59,"Yes",2023-12-26
"Segment_1",41.55,39,"No",2023-09-14
"Segment_2",58.17,65,"No",2023-07-27
"Segment_3",70.29,37,"No",2023-11-25
"Segment_5",57.3,20,"No",2023-10-15
"Segment_3",61.33,22,"No",2023-09-28
"Segment_1",40.06,45,"Yes",2023-03-12
"Segment_2",53.2,30,"Yes",2023-03-22
"Segment_5",48.05,41,"Yes",2023-09-09
"Segment_3",64.5,24,"Yes",2023-04-15
"Segment_1",53.85,65,"No",2023-01-13
"Segment_2",52.04,69,"No",2023-07-04
"Segment_2",73.21,68,"No",2023-12-03
"Segment_4",59.88,70,"No",2023-05-14
"Segment_4",89.75,44,"No",2023-03-14
"Segment_3",30.3,51,"No",2023-12-12
"Segment_4",76.1,34,"Yes",2023-10-12
"Segment_3",63.2,45,"No",2023-09-24
"Segment_4",41.59,19,"Yes",2023-11-07
"Segment_5",62.93,49,"No",2023-10-17
"Segment_2",63.27,55,"Yes",2023-01-08
"Segment_5",56.79,67,"Yes",2023-05-23
"Segment_5",60.49,60,"Yes",2023-03-20
"Segment_5",78.67,30,"No",2023-04-05
"Segment_3",65.82,63,"Yes",2023-06-19
"Segment_3",43.9,56,"Yes",2023-07-20
"Segment_4",47.71,32,"No",2023-12-07
"Segment_3",26.96,41,"Yes",2023-09-22
"Segment_5",69.07,18,"Yes",2023-11-11
"Segment_1",55.09,27,"Yes",2023-02-24
"Segment_3",65.14,26,"Yes",2023-09-01
"Segment_1",63.43,29,"No",2023-03-08
"Segment_1",50.22,67,"No",2023-04-01
"Segment_1",58.52,52,"Yes",2023-03-11
"Segment_4",74.31,33,"No",2023-02-02
"Segment_3",53.3,37,"No",2023-09-12
"Segment_4",64.61,39,"No",2023-01-13
"Segment_2",60.75,29,"No",2023-10-10
"Segment_2",27.63,25,"No",2023-01-07
"Segment_4",39.57,47,"Yes",2023-02-17
"Segment_2",44.71,34,"No",2023-07-09
"Segment_2",76.37,31,"Yes",2023-12-31
"Segment_3",47.85,41,"Yes",2023-07-13
"Segment_2",52.66,39,"Yes",2023-12-02
"Segment_4",72.23,22,"Yes",2023-06-25
"Segment_3",66.87,35,"No",2023-01-13
"Segment_2",49.43,64,"No",2023-10-17
"Segment_1",22.89,34,"No",2023-08-25
"Segment_1",72.37,47,"No",2023-02-11
"Segment_5",19.29,44,"No",2023-07-05
"Segment_2",72.01,64,"No",2023-02-18
"Segment_2",61.46,58,"No",2023-09-30
"Segment_1",62.76,57,"Yes",2023-03-12
"Segment_3",60.58,48,"No",2023-05-12
"Segment_4",71.83,63,"Yes",2023-04-10
"Segment_2",95.23,55,"Yes",2023-09-10
"Segment_2",65.55,21,"No",2023-06-01
"Segment_5",86.54,49,"Yes",2023-08-05
"Segment_2",75.08,39,"No",2023-08-26
"Segment_3",57.28,31,"No",2023-06-26
"Segment_5",48.25,22,"Yes",2023-08-22
"Segment_3",62.06,63,"Yes",2023-07-05
"Segment_3",79.76,39,"Yes",2023-12-20
"Segment_2",54.79,54,"No",2023-12-21
"Segment_3",59.49,52,"No",2023-10-11
"Segment_3",51.48,31,"No",2023-08-06
"Segment_1",53.61,54,"Yes",2023-02-04
"Segment_1",48.35,58,"No",2023-06-14
"Segment_5",50.08,55,"Yes",2023-12-30
"Segment_3",64.93,53,"No",2023-08-02
"Segment_2",30.5,37,"No",2023-07-26
"Segment_4",91.06,61,"No",2023-12-12
"Segment_5",61.06,44,"Yes",2023-01-28
"Segment_1",68.97,20,"No",2023-08-29
"Segment_5",66.41,46,"No",2023-08-06
"Segment_3",67.11,25,"No",2023-10-10
"Segment_5",65.39,31,"Yes",2023-08-23
"Segment_2",79.81,58,"No",2023-06-11
"Segment_1",50.36,51,"Yes",2023-11-01
"Segment_5",89.36,46,"No",2023-01-29
"Segment_4",63.41,62,"Yes",2023-03-28
"Segment_2",53.68,68,"No",2023-01-25
"Segment_3",80.43,46,"No",2023-12-09
"Segment_3",62.95,35,"Yes",2023-10-27
"Segment_4",43.77,62,"No",2023-04-30
"Segment_2",21.85,34,"No",2023-07-01
"Segment_4",59.24,31,"No",2023-07-28
"Segment_1",74.69,49,"No",2023-07-27
"Segment_3",42.86,61,"No",2023-12-24
"Segment_1",21.21,33,"No",2023-03-19
"Segment_3",74.88,63,"Yes",2023-03-01
"Segment_2",53.07,27,"No",2023-12-11
"Segment_1",36.11,28,"Yes",2023-12-10
"Segment_4",59.82,28,"No",2023-08-31
"Segment_3",50.4,64,"Yes",2023-10-17
"Segment_2",51.43,29,"No",2023-01-03
"Segment_3",35.16,62,"No",2023-12-21
"Segment_4",80.06,25,"No",2023-05-02
"Segment_1",53.29,45,"No",2023-04-22
"Segment_5",67.44,67,"Yes",2023-04-20
"Segment_2",80.9,52,"Yes",2023-06-21
"Segment_5",40.92,46,"No",2023-01-28
"Segment_5",56.33,28,"No",2023-05-29
"Segment_1",75.16,55,"No",2023-10-22
"Segment_3",34.47,67,"No",2023-03-22
"Segment_5",77.62,51,"No",2023-07-29
"Segment_4",68.47,69,"No",2023-10-22
"Segment_2",42.85,67,"No",2023-08-26
"Segment_3",23.98,42,"Yes",2023-07-20
"Segment_3",37.17,20,"No",2023-09-13
"Segment_3",59.95,43,"No",2023-11-29
"Segment_5",59.24,32,"No",2023-12-10
"Segment_3",24.6,43,"Yes",2023-04-08
"Segment_5",85.59,52,"No",2023-08-29
"Segment_5",62.25,61,"No",2023-10-15
"Segment_2",39.12,52,"Yes",2023-08-22
"Segment_4",43.18,50,"No",2023-10-08
"Segment_2",72.41,64,"Yes",2023-08-14
"Segment_5",53.05,48,"Yes",2023-06-13
"Segment_4",81.32,40,"No",2023-06-19
"Segment_4",45.01,42,"Yes",2023-03-11
"Segment_3",66.87,33,"No",2023-09-28
"Segment_3",76.25,43,"No",2023-07-27
"Segment_2",47.82,58,"No",2023-04-23
"Segment_1",65.24,39,"Yes",2023-10-13
"Segment_5",49.22,27,"Yes",2023-10-25
"Segment_3",82.44,67,"No",2023-12-13
"Segment_3",67.85,56,"Yes",2023-11-20
"Segment_5",65.36,44,"No",2023-11-13
"Segment_5",65.45,43,"No",2023-03-07
"Segment_1",43.84,63,"No",2023-12-03
"Segment_1",65.79,36,"No",2023-12-09
"Segment_5",86.72,48,"No",2023-07-05
"Segment_4",55.54,28,"No",2023-09-08
"Segment_2",77.55,41,"Yes",2023-04-07
"Segment_1",48.12,67,"No",2023-04-17
"Segment_2",30.87,23,"No",2023-05-18
"Segment_2",48.45,69,"Yes",2023-12-18
"Segment_3",31.53,38,"No",2023-08-14
"Segment_5",49.72,29,"No",2023-06-20
"Segment_5",48.41,23,"No",2023-10-02
"Segment_4",55.28,35,"No",2023-12-09
"Segment_5",40.82,50,"No",2023-05-08
"Segment_2",83.49,65,"No",2023-12-22
"Segment_1",55.61,41,"Yes",2023-03-13
"Segment_3",50.62,20,"No",2023-12-26
"Segment_1",59.43,41,"Yes",2023-02-10
"Segment_2",82.26,68,"No",2023-11-18
"Segment_2",68.09,69,"Yes",2023-01-17
"Segment_4",67.21,57,"No",2023-11-15
"Segment_4",37.63,64,"Yes",2023-10-09
"Segment_1",62.41,61,"No",2023-05-09
"Segment_4",39.47,25,"No",2023-04-20
"Segment_4",81.23,59,"Yes",2023-08-06
"Segment_1",76.24,50,"No",2023-09-18
"Segment_3",66.61,52,"No",2023-10-24
"Segment_2",68.61,26,"No",2023-12-17
"Segment_3",46.56,33,"No",2023-11-02
"Segment_3",48.93,48,"No",2023-06-14
"Segment_5",83.67,24,"Yes",2023-12-03
"Segment_1",41.07,51,"Yes",2023-04-26
"Segment_5",63.66,50,"No",2023-11-23
"Segment_5",52.14,48,"Yes",2023-03-06
"Segment_2",59.49,66,"No",2023-01-02
"Segment_1",72.23,38,"No",2023-05-15
"Segment_4",66.33,37,"No",2023-12-02
"Segment_5",89.52,66,"No",2023-02-02
"Segment_2",73.11,26,"No",2023-05-18
"Segment_5",59.38,43,"No",2023-09-10
"Segment_5",23.33,59,"No",2023-10-03
"Segment_1",58.82,32,"No",2023-11-09
"Segment_2",70.86,58,"No",2023-06-20
"Segment_5",55.47,65,"Yes",2023-08-14
"Segment_3",81.04,24,"Yes",2023-11-14
"Segment_4",64.42,61,"Yes",2023-05-25
"Segment_5",58.59,43,"No",2023-07-17
"Segment_3",44.74,45,"Yes",2023-11-08
"Segment_1",31.37,57,"No",2023-05-04
"Segment_3",40.4,45,"No",2023-08-31
"Segment_2",78.19,22,"No",2023-04-28
"Segment_4",73.71,68,"Yes",2023-05-16
"Segment_4",69.92,18,"Yes",2023-11-05
"Segment_5",49.64,52,"No",2023-11-24
"Segment_1",65.73,36,"No",2023-04-29
"Segment_4",53.38,21,"No",2023-02-04
"Segment_4",80.57,66,"Yes",2023-06-10
"Segment_1",76.35,47,"Yes",2023-10-29
"Segment_4",56.89,28,"Yes",2023-04-29
"Segment_3",40.25,67,"Yes",2023-04-24
"Segment_3",106.26,55,"Yes",2023-05-21
"Segment_5",65.06,46,"No",2023-11-21
"Segment_5",67.67,60,"Yes",2023-10-20
"Segment_1",54.71,36,"Yes",2023-03-15
"Segment_4",69.84,56,"No",2023-04-11
"Segment_1",67.6,62,"Yes",2023-10-18
"Segment_3",69.93,40,"No",2023-10-20
"Segment_4",62.73,39,"No",2023-08-25
"Segment_2",44.21,49,"Yes",2023-12-15
"Segment_1",29.22,25,"Yes",2023-10-17
"Segment_2",67.69,63,"No",2023-12-15
"Segment_5",43.15,24,"No",2023-05-02
"Segment_3",76.53,43,"No",2023-05-20
"Segment_1",47.31,26,"Yes",2023-03-12
"Segment_4",36.55,31,"Yes",2023-06-15
"Segment_5",59.64,38,"No",2023-04-27
"Segment_4",68.84,69,"No",2023-11-20
"Segment_4",72.48,46,"No",2023-10-13
"Segment_2",66.12,48,"No",2023-07-03
"Segment_1",62.24,32,"Yes",2023-01-11
"Segment_3",57.59,67,"Yes",2023-04-07
"Segment_3",54.3,70,"No",2023-02-11
"Segment_5",86.22,48,"No",2023-06-05
"Segment_3",57.08,67,"Yes",2023-09-12
"Segment_5",53.51,36,"No",2023-04-29
"Segment_2",62.69,35,"Yes",2023-04-06
"Segment_1",45.33,35,"Yes",2023-08-14
"Segment_2",49.27,52,"No",2023-07-13
"Segment_5",69.05,58,"Yes",2023-07-03
"Segment_4",40.9,37,"Yes",2023-05-13
"Segment_2",43.56,62,"No",2023-06-13
"Segment_4",71.72,49,"No",2023-08-05
"Segment_3",78.72,66,"No",2023-09-23
"Segment_4",37.67,19,"Yes",2023-02-23
"Segment_3",69.92,62,"No",2023-03-16
"Segment_1",68.88,21,"No",2023-10-29
"Segment_3",59.57,41,"No",2023-10-04
"Segment_5",56.35,40,"No",2023-02-04
"Segment_5",54.47,55,"No",2023-08-18
"Segment_2",87.82,21,"Yes",2023-10-12
"Segment_5",74.28,55,"No",2023-11-05
"Segment_1",71.71,59,"Yes",2023-02-13
"Segment_4",59.57,34,"No",2023-01-19
"Segment_1",71.17,34,"No",2023-12-13
"Segment_3",71.03,44,"No",2023-05-26
"Segment_2",68.89,20,"Yes",2023-12-27
"Segment_3",47.11,39,"No",2023-01-01
"Segment_2",52.03,38,"No",2023-05-04
"Segment_1",32.45,25,"No",2023-10-05
"Segment_3",40.29,37,"No",2023-11-02
"Segment_5",100.07,61,"No",2023-11-27
"Segment_5",63.16,33,"Yes",2023-03-13
"Segment_3",55.26,40,"No",2023-11-03
"Segment_5",64.68,50,"No",2023-09-11
"Segment_1",35.39,63,"No",2023-10-10
"Segment_1",46.05,61,"No",2023-11-13
"Segment_1",92.9,42,"No",2023-02-26
"Segment_1",62.15,38,"No",2023-09-09
"Segment_5",62.14,28,"No",2023-03-07
"Segment_5",77.89,58,"No",2023-01-07
"Segment_5",34.97,60,"No",2023-05-29
"Segment_4",73.19,45,"No",2023-09-08
"Segment_4",65.28,66,"Yes",2023-11-10
"Segment_4",39.84,38,"No",2023-03-08
"Segment_5",45.29,21,"Yes",2023-06-28
"Segment_1",40.85,39,"No",2023-01-04
"Segment_2",52.18,32,"No",2023-12-17
"Segment_3",70.17,36,"Yes",2023-05-25
"Segment_3",61.87,55,"Yes",2023-01-28
"Segment_5",33.09,42,"Yes",2023-02-23
"Segment_4",83.54,33,"No",2023-06-19
"Segment_5",54.09,63,"Yes",2023-04-20
"Segment_2",51.81,25,"No",2023-03-06
"Segment_4",54.3,65,"No",2023-05-08
"Segment_1",82.95,36,"Yes",2023-09-17
"Segment_2",61.36,52,"No",2023-06-12
"Segment_4",35.31,28,"No",2023-12-18
"Segment_1",62.69,18,"No",2023-01-15
"Segment_1",101.13,53,"Yes",2023-04-01
"Segment_5",79.17,48,"Yes",2023-02-15
"Segment_1",53.26,41,"No",2023-07-08
"Segment_1",49.8,33,"No",2023-09-12
"Segment_2",64.81,20,"Yes",2023-05-13
"Segment_5",59.22,19,"No",2023-01-15
"Segment_5",57.49,55,"Yes",2023-10-06
"Segment_3",30.33,29,"No",2023-01-20
"Segment_3",71.77,65,"No",2023-10-01
"Segment_4",62.02,32,"No",2023-03-01
"Segment_1",69.29,48,"No",2023-01-04
"Segment_5",56.41,26,"Yes",2023-08-30
"Segment_2",65.32,45,"Yes",2023-07-04
"Segment_5",65.29,34,"No",2023-03-12
"Segment_4",57.71,45,"No",2023-06-10
"Segment_1",61,40,"No",2023-12-12
"Segment_5",76.97,69,"Yes",2023-08-19
"Segment_5",53.27,58,"No",2023-04-29
"Segment_2",88.51,56,"No",2023-09-09
"Segment_5",75.42,20,"Yes",2023-11-14
"Segment_3",54.18,32,"No",2023-02-04
"Segment_3",85.23,51,"Yes",2023-01-21
"Segment_5",77.71,54,"No",2023-02-09
"Segment_1",86.65,21,"No",2023-02-26
"Segment_5",52.02,55,"No",2023-05-05
"Segment_1",68.5,46,"Yes",2023-06-22
"Segment_5",58.91,20,"Yes",2023-07-28
"Segment_5",52.09,41,"Yes",2023-10-22
"Segment_2",74.43,33,"No",2023-04-22
"Segment_4",47.76,40,"No",2023-11-23
"Segment_4",68.51,66,"No",2023-11-13
"Segment_3",42.19,57,"No",2023-02-22
"Segment_1",53.85,67,"Yes",2023-04-29
"Segment_5",80.71,30,"Yes",2023-08-28
"Segment_2",31.82,41,"Yes",2023-05-14
"Segment_1",55.95,42,"Yes",2023-08-18
"Segment_4",41.8,33,"No",2023-01-10
"Segment_1",54.89,69,"No",2023-11-02
"Segment_5",47.96,47,"No",2023-09-28
"Segment_2",69.04,56,"No",2023-07-07
"Segment_5",61.06,42,"Yes",2023-02-03
"Segment_1",44.51,56,"Yes",2023-11-26
"Segment_5",73.61,22,"Yes",2023-01-09
"Segment_5",53.76,60,"No",2023-10-31
"Segment_1",43.55,64,"Yes",2023-12-27
"Segment_4",62.24,39,"No",2023-07-14
"Segment_4",41.19,25,"No",2023-04-14
"Segment_2",56.03,55,"Yes",2023-12-10
"Segment_5",57,20,"Yes",2023-08-10
"Segment_2",38.43,45,"No",2023-07-20
"Segment_4",65.58,29,"Yes",2023-10-19
"Segment_2",60.47,62,"No",2023-11-06
